time,x_km,y_km,z_km
1.087,7491.477,6.512,8.682
1.194,7491.476,7.154,9.539
1.303,7491.475,7.803,10.403
1.410,7491.474,8.448,11.264
1.514,7491.473,9.070,12.093
1.621,7491.472,9.709,12.945
1.726,7491.470,10.338,13.784
1.826,7491.469,10.937,14.583
1.928,7491.468,11.546,15.395
2.032,7491.466,12.170,16.227
2.223,7491.463,13.315,17.753
2.515,7491.458,15.066,20.088
2.991,7491.449,17.918,23.890
3.567,7491.436,21.363,28.483
4.316,7491.415,25.853,34.471
5.188,7491.385,31.074,41.431
6.180,7491.345,37.014,49.352
7.305,7491.291,43.752,58.336
8.617,7491.217,51.615,68.820
10.080,7491.120,60.373,80.497
11.718,7490.993,70.188,93.584
13.392,7490.844,80.209,106.945
15.355,7490.644,91.968,122.623
17.446,7490.400,104.490,139.320
19.580,7490.120,117.272,156.363
21.966,7489.768,131.557,175.409
24.488,7489.352,146.662,195.549
27.064,7488.880,162.087,216.116
29.756,7488.337,178.208,237.610
32.479,7487.736,194.509,259.344
35.560,7486.992,212.953,283.937
38.890,7486.112,232.884,310.511
42.240,7485.148,252.932,337.242
45.616,7484.096,273.137,364.181
49.232,7482.880,294.771,393.026
53.123,7481.467,318.050,424.065
58.590,7479.303,350.745,467.658
62.689,7477.541,375.255,500.338
66.631,7475.735,398.820,531.758
71.088,7473.561,425.458,567.275
75.392,7471.329,451.170,601.558
79.896,7468.853,478.076,637.432
84.772,7466.013,507.187,676.247
89.943,7462.819,538.047,717.393
94.941,7459.554,567.860,757.144
99.962,7456.097,597.804,797.069
105.374,7452.175,630.055,840.070
110.976,7447.899,663.426,884.564
116.313,7443.623,695.202,926.932
121.836,7438.990,728.060,970.743
127.751,7433.793,763.233,1017.641
133.888,7428.146,799.696,1066.257
139.782,7422.478,834.692,1112.919
145.880,7416.363,870.870,1161.155
152.590,7409.341,910.641,1214.183
159.627,7401.645,952.314,1269.747
166.244,7394.102,991.457,1321.938
172.794,7386.343,1030.165,1373.548
179.553,7378.033,1070.063,1426.746
187.165,7368.306,1114.947,1486.590
194.457,7358.623,1157.893,1543.852
202.024,7348.202,1202.396,1603.188
209.493,7337.544,1246.257,1661.670
217.132,7326.263,1291.054,1721.399
225.034,7314.189,1337.330,1783.100
233.011,7301.588,1383.964,1845.278
241.024,7288.516,1430.726,1907.628
249.553,7274.146,1480.417,1973.882
257.812,7259.790,1528.439,2037.911
266.359,7244.476,1578.040,2104.045
275.117,7228.305,1628.764,2171.678
283.939,7211.531,1679.749,2239.656
293.057,7193.686,1732.326,2309.759
302.242,7175.193,1785.164,2380.210
310.845,7157.404,1834.540,2446.045
320.366,7137.196,1889.049,2518.723
329.752,7116.742,1942.645,2590.184
339.531,7094.876,1998.334,2664.435
349.113,7072.905,2052.747,2736.985
359.168,7049.277,2109.677,2812.892
369.360,7024.732,2167.209,2889.601
378.962,7001.067,2221.246,2961.650
388.927,6975.962,2277.148,3036.186
399.341,6949.137,2335.376,3113.823
409.828,6921.523,2393.812,3191.737
420.972,6891.528,2455.679,3274.227
432.420,6860.022,2518.994,3358.646
443.995,6827.467,2582.753,3443.657
454.848,6796.314,2642.295,3523.047
466.137,6763.271,2703.983,3605.297
477.459,6729.492,2765.588,3687.436
488.779,6695.079,2826.931,3769.228
500.365,6659.216,2889.439,3852.571
512.183,6621.976,2952.907,3937.195
524.809,6581.460,3020.399,4027.183
537.168,6541.092,3086.131,4114.826
549.672,6499.545,3152.306,4203.059
562.059,6457.704,3217.528,4290.022
575.136,6412.806,3286.025,4381.350
588.319,6366.810,3354.693,4472.908
601.838,6318.883,3424.723,4566.281
615.514,6269.645,3495.150,4660.182
629.140,6219.846,3564.905,4753.189
642.521,6170.234,3633.008,4843.993
655.966,6119.703,3701.026,4934.684
669.864,6066.760,3770.914,5027.867
683.124,6015.596,3837.184,5116.226
696.880,5961.858,3905.516,5207.335
711.106,5905.597,3975.730,5300.954
725.889,5846.413,4048.207,5397.589
740.878,5785.675,4121.186,5494.894
755.458,5725.905,4191.688,5588.897
770.772,5662.416,4265.222,5686.941
786.452,5596.684,4339.958,5786.589
801.839,5531.478,4412.762,5883.661
816.809,5467.397,4483.079,5977.417
832.245,5400.680,4555.054,6073.383
849.242,5326.480,4633.692,6178.233
864.627,5258.680,4704.310,6272.389
881.128,5185.301,4779.471,6372.604
896.697,5115.469,4849.829,6466.414
913.324,5040.269,4924.376,6565.811
929.189,4967.933,4994.943,6659.900
945.112,4894.781,5065.216,6753.596
962.175,4815.805,5139.907,6853.183
978.304,4740.610,5209.930,6946.548
995.276,4660.936,5283.012,7043.989
1012.115,4581.354,5354.913,7139.858
1028.998,4501.044,5426.405,7235.179
1046.217,4418.625,5498.702,7331.576
1064.038,4332.810,5572.872,7430.469
1081.733,4247.091,5645.875,7527.805
1099.345,4161.297,5717.898,7623.835
1117.568,4072.045,5791.758,7722.315
1135.534,3983.593,5863.924,7818.536
1153.113,3896.625,5933.912,7911.854
1205.912,3633.080,6140.492,8187.293
1221.484,3554.729,6200.395,8267.163
1237.067,3476.058,6259.882,8346.479
1253.897,3390.811,6323.615,8431.455
1270.558,3306.144,6386.188,8514.886
1285.741,3228.755,6442.768,8590.325
1300.649,3152.560,6497.916,8663.856
1316.609,3070.776,6556.509,8741.979
1331.174,2995.951,6609.585,8812.747
1345.709,2921.116,6662.174,8882.865
1361.257,2840.883,6718.019,8957.325
1375.740,2765.982,6769.663,9026.184
1390.150,2691.317,6820.686,9094.214
1404.983,2614.315,6872.837,9163.748
1419.536,2538.625,6923.644,9231.491
1433.750,2464.575,6972.924,9297.198
1448.242,2388.954,7022.824,9363.731
1462.448,2314.715,7071.402,9428.501
1477.726,2234.750,7123.282,9497.674
1492.570,2156.943,7173.329,9564.403
1506.489,2083.887,7219.938,9626.548
1520.935,2007.974,7267.987,9690.613
1535.998,1928.723,7317.740,9756.951
1552.023,1844.313,7370.283,9827.007
1565.615,1772.637,7414.542,9886.019
1579.146,1701.217,7458.323,9944.393
1592.537,1630.475,7501.379,10001.802
1606.257,1557.930,7545.219,10060.254
